artist.name,terms,release.name
James Darren,brill building pop,Sings The Movies
Darden Smith,blues-rock,After All This Time: The Best Of Darden Smith
Glen Washington,lovers rock,Romantic Reggae Vol. 3
RUN-DMC vs. Jason Nevins,hip hop,It's Like This - The Best Of
Los Fabulosos Cadillacs,ska,La Marcha Del Golazo Solitario
Alfredo Kraus - Orquesta de Conciertos de Madrid - Pablo SorozA!bal,opera,Romanzas de Zarzuela
Izzy,opera,Composition Book
Albert PrA(c)jean,chanson,The Greatest Hits from 40's and 50's_ Vol. 70
Generation X,punk,Anthology
Jimmy Wakely,classic country,Vintage Collections
Django AsA1/4l,german,Hardliner
Guns N' Roses,heavy metal,Live Era '87-'93
Muse,art rock,Absolution
Georgia Satellites,roots rock,Let It Rock...Best Of Georgia Satellites
Vivian,happy hardcore,Alive
Pretty Boy Floyd,glam metal,The Ultimate Pretty Boy Floyd
KT Tunstall,folk-pop,Saving My Face
Glad,ccm,Acapella Hymns
Dntel,glitch,Early Works for Me If It Works for You II
Orlando Pops Orchestra and Andrew Lane,orchestra,The Greatest Sci-Fi & Horror Themes
Dennis O'Neill,bel canto,Liszt: 'Tre Sonetti di Petrarca' & First Settings of Victor Hugo
Talib Kweli,hip hop,Eardrum
Orbital,techno,Halcyon - The Platinum Collection
Glen Campbell,country rock,Letter To Home
L.A. Guns,heavy metal,Rock Bottom - The Rock Essentials
"MichA""le Arnaud",chanson,The Greatest Hits from 40's and 50's_ Vol. 34
Gerald Clayton,nu jazz,Two-Shade
Kaija Koo,humppa,Lauluja rakkaudesta
Gene Simmons,hard rock,Gene Simmons' Drinkin' Wine
Aerosmith,blues-rock,Get A Grip
Ned Miller,country rock,Sweet Sounds of Country Vol. 1
The Shangri-Las,doo-wop,Best of The Shangri-Las
Assassin,dancehall,Assassin Out of Custody
Herbst9_ Z'ev,dark ambient,Herbst9 vs. Z'ev - Through Bleak Landscapes
MxPx,christian rock,On The Cover
HA(c)roes del Silencio,hard rock,Senderos De TraiciA3n - EdiciA3n Especial
Herbert Von Karajan,opera,Hary Janos/Concerto For Orchestra
John Tchicai,free jazz,Anybody Home?
Dale Hawkins,rockabilly,Bang Bang
Gabriel Yared,latin jazz,37Adeg2 Le Matin
Line Renaud,chanson,Platinum Line Renaud
Bruce Rowland,easy listening,The Man from Snowy River
Johnny Winter,blues-rock,Gangster Of Love & Other Favorites (Digitally Remastered)
Rui Da Silva,progressive house,Lixuneanos
5th Ward Boyz,hip hop,Ghetto Dope
Mae West,modern rock,I'm No Angel
Call To Preserve,straight edge,From Isolation
Inspector 9,rock,Beauty and the Truth
The Jackson Southernaires,southern gospel,The Word In Song
Commander Cody And His Lost Planet Airmen,country rock,Live From Deep In The Heart Of Texas
Asleep At The Wheel,western swing,Texas Gold/Comin' Right At Ya
Sandy Lam,chinese music,Ben Se
deadboy & the Elephantmen,punk blues,We Are Night Sky
Klaus Badelt,chill-out,Premonition
Anthony Cruz,lovers rock,Para Ti...
Marcus Miller,jazz funk,The Ozell Tapes
The Police,new wave,So Lonely
Ebba Forsberg,roots rock,Ta Min Vals/Sjunger Leonard Cohen
Del The Funky Homosapien,hip hop,Future Development
Aurlus MabA(c)lA(c),soukous,Aurlus MabA(c)lA(c)_ Best of inA(c)dit
James Darren,brill building pop,Sings The Movies
Leon Lai,chinese music,4 in Love
Tha Alkaholiks,hip hop,21 & Over
Capital Tax,hip hop,Either You Like It or You Don't
Michael Stanley Band,heartland rock,MSB
Moist,post-grunge,Far Beyond The Endless
Tony Joe White,country rock,"The Best Of Tony Joe White Featuring ""Polk Salad Annie"
Otis Taylor,country blues,Pentatonic Wars and Love Songs
Akon,hip hop,Lonely
M.A. Numminen,german pop,Suosituimmat Lastenlaulut
Johnny Cash,honky tonk,Austin Prison
The Sensational Alex Harvey Band,glam rock,Zalvation
Harald Kloser,big beat,The Thirteenth Floor
Fountains Of Wayne,power pop,Traffic and Weather
Angela Stewart,lovers rock,U Brown's Hit Sound
Dons,rock 'n roll,Lights On
Since The Flood,hardcore metal,No Compromise
The Business,oi,No Mercy For You
Del Horno,tribal house,Once EP
Aerosmith,blues-rock,A Little South Of Sanity
Dells,chicago soul,Dreams Of Contentment
Nestor Torres,latin jazz,Treasures Of The Heart
Dilated Peoples Featuring Devin The Dude,turnablism,This Way
Gym Class Heroes,hip hop,The Papercut Chronicles
Stellar Kart,christian punk,Life Is Good: The Best Of Stellar Kart
Johnny Copeland,texas blues,Flyin' High
Bon Jovi,rock,Bounce - Special Edition
Beenie Man,dancehall,Defend It
Eric Burdon,blues-rock,Soldier Of Fortune
FFH,ccm,Still The Cross
DJ Phiene,ghetto tech,Da Grand Architek
Hanoi Rocks,heavy metal,Back to Mystery City
Viki Mosholiou,mondiovision,Metanastes
Guitar Slim,r&b,Living Country Blues USA Vol. 12 - East Coast Blues
Max Stalling,roots rock,Sell Out - Live at Dan's Silver Leaf
6CycleMind,pinoy rock,Home
AFI,post-hardcore,Crash Love
Magnatune Compilation,free music,South by Southwest Compilation
Jessica Myrberg,swedish,Det BA$?sta FrAY=n Idol 2006
Shriekback,alternative dance,Glory Bumps
Kruger,post-hardcore,Devyaty Messiya
Solas,irish folk,Solas
Dora The Explorer,goregrind,Dora The Explorer
Russell Malone,cool jazz,Playground
Kingston Trio,folk-pop,M.T.A
Michael Gettel,chamber jazz,The Key
Diego Vasallo,fusion,Las huellas borradas
Grandmaster Flash,hip hop,On The Strength
The Jordanaires,country gospel,The King's Harmoniers
H-Town,new jack swing,Imitations Of Life
Singing Melody,dancehall,Candy Cane Riddim
Seventh Day Slumber,christian rock,Take Everything (The Acoustic Sessions)
Estrellas Cubanas,charanga,La Habana Tiene...
Joell Ortiz,hip hop,Mood Muzik III
Nik & Jay,pop rap,3: Fresh-Fri-Fly
Ayo,neo soul,Joyful
Stern,easy listening,Digital Bless
Blind Blake,country blues,All the Published Sides
Angela Dimitriou,pop folk,14 Megala Tragoudia - Angela Dimitriou
The Who,british invasion,The Who By Numbers
Andy & Lucas,flamenco,Andy & Lucas (En Su Salsa)
The Fray,piano rock,Acoustic In Nashville - Bootleg No. 2
Vicious Mary,vaudeville,Vicious Mary
Marco Beltrami,soundtrack,Flight Of The Phoenix
Oscar Lima,melbourne,Desert Caravan
Trafik,progressive house,Global Underground Singles Sampler One
Deodato,jazz funk,Somewhere Out There
Harry Gregson-Williams,video game music,Man On Fire
Gus Viseur,gypsy jazz,AccordA(c)on vol.3 - Paris 1944-1954
Gran Coquivacoa,gaita,Las Mejores Gaitas Vol.1
Ray Barretto,latin jazz,Can You Feel It
MICHAEL WHITE,new orleans jazz,Michael White
Thomas Battenstein,guitar,ILE D'YEU
The Jam,british pop,In The City
Rockit,tech house,Retro Boosters
KRS-One,hip hop,Keep Right
Lorna,reggaeton,Static Patterns And Souvenirs
Bob McKenzie / Doug McKenzie,stand-up comedy,Great White North
Constance Demby,meditation,Set Free - The Definitive Edition
David Robertson,folk-pop,Someone Who Cares
Blingtones,turnablism,ReprA(c)sente ton tiA(c)kar (Sonneries)
Call To Preserve,straight edge,From Isolation
R. Carlos Nakai,chamber jazz,Island of Bows
Jose Luis Perales,latin pop,Lo Mejor De JosA(c) Luis Perales
Birds of Prey,sludge metal,Sulfur and Semen
Nick Cave & The Bad Seeds,rock,Kicking Against The Pricks (2009 Digital Remaster)
Unwritten Law,post-grunge,from Music In High Places
Juan Carmona,flamenco,Orillas
Laurindo Almeida / Charlie Byrd,latin jazz,Tango
Wednesday 13's Frankenstein Drag Queens From Planet 13,horror punk,The Late_ Late Show
David & Steve Gordon,meditation,Peaceful Evening
Willy DeVille,blues-rock,PISTOLA
Washboard Sam,delta blues,Washboard Sam Vol. 1 (1935-1936)
Cut Copy,alternative dance,In Ghost Colours
Maroon 5,pop,Call And Response: The Remix Album
N.W.A.,gangster rap,The Best Of N.W.A: The Strength Of Street Knowledge
Tarheel Slim,electric blues,East Coast Blues
Memphis Minnie,country blues,Queen Of Country Blues
Little Jr. Parker,soul blues,Blues Consolidated
Dan Moretti,nu jazz,Dan Moretti's Infant Eyes
Jesus Jones,dance rock,BBC In Concert (22nd June 1990)
Speech,hip hop,PEECHY
Billy Higgins,hard bop,The Soldier
Army of the Pharoahs,tango,The Torture Papers
Smokin' Joe Kubek & Bnois King,blues-rock,Roadhouse Research
Junior M. A. F. I. A.,hip hop,Sunset Park - Original Motion Picture Soundtrack
A Static Lullaby,post-hardcore,The Killer In You: A Tribute To Smashing Pumpkins
Phantom Planet,power pop,Phantom Planet
50 Cent / Mobb Deep,gangster rap,The Massacre (Ecopac Reissue Explicit)
Pegy Zina,modern laika,The Digital Collection
Mario Rosenstock,irish,Gift Grub
Shangri Las,doo-wop,Wishing Well
DJ Deeon,hard house,The Digital Pimp Series Vol.1
Suicide,experimental rock,Attempted: Live At Max's Kansas City 1980
Apache Indian,dancehall,Real People
The Four Pennies,brill building pop,The Very Best Of The Four Pennies
Jah Wobble & Bill Laswell,future jazz,Unity Dub's Voyage Into Paradise
Nick Cave & The Bad Seeds,rock,The Boatmans Call
Five Fingers of Funk,funk metal,About Time
Leon Russell,blues-rock,A Song For You
Blind Willie McTell,country blues,Lost & Found Blues
Big Star,power pop,Keep An Eye On The Sky
Jimmie Davis,country blues,You Are My Sunshine
Leana,tribal house,Pack Your Bags
Soulwax,dance rock,Much Against Everyone's Advice
Vonray,post-grunge,Vonray
Dionne Warwick,brill building pop,Soulful
Les Ogres De Barback,chanson,Rue du temps
John Fogerty,roots rock,Revival
Anne Dudley,trip hop,Black Book
Ivan Parker,country gospel,NOC Live
Darwin Hobbs,religious music,Worshipper
THE AD LIBS,all-female,The Ad Libs' The Boy From New York City
Sofia Karlsson,chanson,SAPder Om KA$?rleken
Uriah Heep,heavy metal,Live In Europe
Eric Burdon,blues-rock,I Used To Be An Animal
Korn,rap metal,Live & Unglued
Jill Paquette,soft rock,Jill Paquette
PRE,no wave,Epic Fits
Lyrics Born,hip hop,Overnite Encore: Lyrics Born Live!
Humanzi,dance-punk,Fix The Cracks
David Tao,chinese music,The Great Leap
P.O.D.,alternative metal,Payable On Death
Julie Zenatti,chanson,Comme Vous
Bob Wills,western swing,Cotton Eyed Joe
Chaotica,industrial rock,Turbocharger
Pelle Carlberg,twee pop,In A Nutshell
Eddy Raven,zydeco,20 Favorites
Remmy Ongala,soukous,Songs For The Poor Man
Gabriela Anders,latin jazz,Wanting
Carl Crack,broken beat,Black Ark EP
Parachute Band,ccm,Roadmaps and Revelations
Michael Stanley Band,heartland rock,Right Back at Ya (1971-1983)
Hunters,bhangra,No Limits
Jason & The Scorchers,country rock,Halcyon Times
"Claire ElziA""re",indie,La vie va si vite (Live)
MAPtley CrA1/4e,heavy metal,Motley Crue / Rock Legends
Sivuca & Camerata BrasAlica,brazilian jazz,Terra EsperanASSa
Greater Vision,ccm,Faces
Theodore Shapiro,country blues,Fun With Dick And Jane
Bill Murk,hard house,Intercessor
Marco Beltrami,soundtrack,Dans la brume A(c)lectrique (Bande originale du film)
Jere McAllister,deep house,The Next Generation
Nando Lauria,latin jazz,Narada Decade (The Anniversary Collection)
Emotion Code,trance,Mesmerise the Future
Faith Hill & Tim McGraw,country,Breathe
Jimmy McCracklin,piano blues,West Coast Down Home Blues
Jesse Malin,urban folk,Broken Radio
Fredi,ballad,20 Suosikkia / Laula kanssain
Tito Puente,salsa,Live At The Playboy Jazz Festival
Daniel Johnston,power pop,Lost And Found
Radiohead,british pop,Pablo Honey (Collector's Edition)
Mister Ries,ghetto tech,Rotterdam EP
Twila Paris,ccm,The Ultimate Collection
The Motors,power pop,Airport - The Motors Greatest Hits
Art Ensemble Of Chicago,country rock,With Fontenella Bass
Ill Harmonics,hip hop,Monkey Business
Jimmy McCracklin,piano blues,Blues Blastin': The Modern Recordings Vol 2
Dropkick Murphys,celtic punk,The Gang's All Here
Leona Naess,chanson,Leona Naess
Set Your Goals,pop punk,This Will Be The Death Of Us
Jeff Wahl,meditation,Guitarscapes
Solitaire,deep house,Invasion Metropolis
Shelby Lynne,country rock,Just A Little Lovin'
Circular,chill-out,Beatservice Jukebox - Best Of Beatservice Records
Bullethole,thrash core,Incarceration
Lady GaGa,dance pop,Live Lounge 4
Tracy Byrd,honky tonk,Ten Rounds
Vrse Murphy,dj,Martini Breaks
The Dee Jays,freakbeat,The Dee Jays / Baby Talk - Best of
Nerf Herder,post-grunge,IV
YGGDRASIL,viking metal,KvA$?llningsvindar Aver Nordront Land
Moraes Moreira,latin jazz,Estados
Prozak,rap,Tales From The Sick
Blackbyrds,jazz funk,Happy Music: The Best Of The Blackbyrds
Shaggy,reggae,Intoxication
Los Fabulosos Cadillacs,ska,Hola
Big Rich featuring Devo,hyphy,Demolition Men Present: Block Tested Hood Approved
Johann KAPhnich,german,...Liest_ Singt Und Macht
Anthony Watson,lovers rock,I Love Being Single
Mix Mob,rapcore,So Cal Drunks
Flexy,eurodance,Toca Me
FU-Schnickens,comedy rap,Greatest Hits
Sugar Minott,roots reggae,George Phang: Power House Selector's Choice Vol. 2
Birmingham Jubilee Singers,gospel,Birmingham Jubilee Singers Vol. 2 (1927-1930)
Christos Dantis,pop rock,Christos Dantis Best
Valient Thorr,heavy metal,Legend Of The World
Lizzy Borden,heavy metal,The Murderess Metal Road Show
Northern State,hip hop,All City (Clean)
Johnny Copeland,texas blues,Flyin' High
Brenda Lee,ballad,Classic Brenda Lee - The Universal Masters Collection
Patience Dabany,soukous,Patience Dabany
Marcio Faraco,latin jazz,Interior
Patrick Saint-Eloi,zouk,Zoukolexion_ vol. 1
Akissa,hip hop,Je DA(c)teste Le Rap FranASSais
Marty Robbins,country rock,Sing Me Something Sentimental
Eric B. & Rakim,hip hop,Gold
Vince Guaraldi,latin jazz,Jazz Impressions
Humanzi,dance-punk,Kingdom Of Ghosts
Aerosmith,blues-rock,Pandora's Box (Display Box)
Aswad,roots reggae,Aswad vs. The Rhythm Riders
Cindy Morgan,ccm,A Reason To Live
DJ X-Change,ghetto tech,The X-Factor (Side B)
Mighty Mighty Bosstones,ska punk,Devil's Night Out
Isabelle Adjani,chanson,Pull Marine
Tina Ann,progressive house,Situations
Chet Atkins,honky tonk,Chet Atkins_ C.G.P.
Urge Overkill,hard rock,Saturation
JK,dance music,Go On
Cam'Ron,hip hop,Purple Haze
Harry Connick_ Jr.,rock,To See You
An Cafe,dance rock,Magnya Carta
Kyle Eastwood,hard bop,Now
U.K. Subs,oi,Normal Service Resumed
Fernando Ortega,ccm,Hymns Of Worship
The Winans,ccm,Mega 3
themselves,experimental pop,Crownsdown
Niraj Chag,trip hop,Rafta Rafta
ZTrip,turnablism,skate.
Murphy Lee / Zee,pop rap,Murphy's Law
Leaders Of The New School,hip hop,T.I.M.E.
Esperanza Spalding / Leo Genovese,latin jazz,Esperanza
Marshall Crenshaw,power pop,What's in the Bag?
Streetwize,smooth jazz,Smooth Jazz: Sax At Midnight
Roy Roberts,soul blues,Every Shade of Blue
Chris Rea,soft rock,The Road To Hell And Back
Luis Alberto Spinetta,rock 'n roll,Prive
Pitch Black,chill-out,Harmonia Pt.II
BoDeans,roots rock,Mr. Sad Clown
DJ Isaac,gabba,Best Of Dwarf Records
Stone Temple Pilots,grunge,Thank You
Damita,christian music,No Looking Back
Dark Distant Spaces,post-grunge,Secret Words & Little Treasures
Neeme Jarvi,easy listening,TCHAIKOVSKY: Suite No. 4 / The Seasons
Mint Condition,new jack swing,Live From The 9:30 Club
Sukhwinder Singh;Jaspinder Narula,desi,Dil Kya Kare
Shay Torrent,easy listening,Ultra-Lounge / Organs In Orbit  Volume Eleven
The Twinkle Brothers,roots reggae,Twinkle Love Songs_ Volume Two
We Five,close harmony,Catch The Wind
Silverstein,post-hardcore,18 CANDLES: THE EARLY YEARS
Tin Hat Trio,chamber jazz,Helium
Andy & Lucas,flamenco,Desde mi barrio
Lennie Tristano,free jazz,Lennie Tristano / The New Tristano
Fast Eddie,hip house,Teen Sensation
"Claire ElziA""re",indie,La vie va si vite (Live)
Erin O'Donnell,ccm,Wide Wide World
Black Debbath,blues,Welcome To Norway
SANSHIRO,los angeles,Chansons pour qui?
Serge Desaunay,gypsy jazz,Rue du canal
Leaders Of The New School,hip hop,T.I.M.E.
Los Cumbieros Del Sur,charanga,Los Mas Arrechos De La Costa Vol.1
Eagles Of Death Metal,stoner rock,Heart On (with bonus tracks)
Papa Wemba,soukous,Festival international nuits d'Afrique-19e A(c)dition 2005
Unwritten Law,post-grunge,Oz Factor
Bimbo Band,reggaeton,Canti di Natale
The Even Dozen Jug Band,jug band,Jug Band Songs Of The Southern Mountains (Digitally Remastered)
John Ottman,acid jazz,Superman Returns Music From The Motion Picture [Digital Version]
Opals,chicago soul,Doo-Wop Classics Vol. 9 [Beltone Records]
Free,blues-rock,Live
Emit,ambient black metal,100m001
Lil' Band O' Gold,zydeco,Lil' Band O Gold
Bow Wow Wow,dance rock,Love_ Peace & Harmony The Best Of Bow Wow Wow
John Frizzell,soundtrack,The Prize Winner of Defiance_ Ohio: Original Score from the Motion Picture
Alexander O'Neal,dance pop,Alex Loves...
Annie Lennox,soft rock,Dance Vault Mixes - Little Bird (1st Set of Mixes)
Tree,ska punk,"A Lot to Fear"" & ""Plant a Tree or Die"
M.A. Numminen,german pop,Gommin ja Pommin metsA$?karnevaali
Goose,modern rock,Bring It On Rarities & Remixes
Remmy Ongala,soukous,Songs For The Poor Man
The Black Crowes,blues-rock,Before the Frost... Until the Freeze
Leo Dan,brutal death metal,Sus Grandes Axitos
Shunza,chinese music,... And Music'S There ...
Mil featuring Petey Pablo,visual kei,Street Scriptures
Peggy Zina,modern laika,Mazi Sou
Casual,hip hop,Truck Driver
Alceu ValenASSa,brazilian pop music,CoraASSAPSo Bobo
Rockabye Baby!,lullaby,Lullaby Renditions of U2
Mudhoney,grunge,The Lucky Ones
Ned Nash Orchestra,soundtrack,Western Movie Themes
Jane's Addiction,alternative metal,A Cabinet Of Curiosities
Quinteto Violado,brazilian pop music,Pure Brazil II - For All - The Brazilian Northeast Music
Winifred Phillips,game,SimAnimals
Roj,experimental pop,The Transactional Dharma of Roj
The Misfits,horror punk,Collection 2
Beatnuts with Lil' Donny,grime,A Musical Massacre (Explicit)
Wyclef Jean,hip hop,The Sunny Side Of Life
Shakira,dance pop,Laundry Service
Hushabye Baby,country,Hushabye Baby: Lullaby Renditions of Rascal Flatts
Swallow The Sun,sympho black metal,Hope
Hem,folk-pop,Rabbit Songs
Mance Lipscomb,texas blues,Trouble In Mind
K's Choice,post-grunge,Running Backwards (Limited Edition / Fan Club Only)
Small Faces,rock 'n roll,Small Faces
Maximilian Hecker,chamber pop,Infinite Love Songs
Alexandre Desplat,soundtrack,Firewall
White Willow,folk rock,Signal To Noise
Bad Brains,hardcore punk,God Of Love
Motograter,post-grunge,Motograter
Melvins,sludge metal,Nude With Boots
The Funeral Pyre,blackened death metal,The Nature of Betrayal
Maria Forde,los angeles,Will You Dance With Me?
Fountains Of Wayne,power pop,Utopia Parkway
Colin James,blues,Bad Habits
Shadows Fall,power metal,Of One Blood
Hushabye Baby,country,Lullaby Renditions of Johnny Cash
DJ Nasty,bass music,Tha Remixes Vol. 17
Elva Hsiao,j pop,The Fifth Ave
John Davis,jazz fusion,Laid-Back Christmas Favourites
Barry Goldberg,easy listening,Blues From Chicago
Konstantinos Galanos,greek,Proti Epafi
The Real Kids,power pop,Better Be Good
Jean Ferret,gypsy jazz,CABU - From Paris With Jazz: Guitar
Frederik,tech house,Kolmekymppinen
Jo Privat,gypsy jazz,Dansez Avec Jo Privat
Willie Clancy,disco,Voice of the People 01: Come Let Us Buy The Licence
Mae West,modern rock,I'm No Angel
LORE,trip hop,My Soul Speaks
The Summer Obsession,pop punk,This Is Where You Belong
Dabbler,ragga jungle,When Your Ready
Messy Marv,gangster rap,100 Racks
Dons,rock 'n roll,Lights On
Beth Nielsen Chapman,singer-songwriter,Sand And Water
The Roches,singer-songwriter,We Three Kings
Bukka White,delta blues,Blues With Bukka
The Rambos,southern gospel,Rambos Collection
Lennie Tristano,free jazz,Lennie Tristano - Note to Note
My Chemical Romance,emo,The Black Parade Is Dead!
Emile Vacher,chanson,L'AccordA(c)on du tour de France
Gloria Lasso,europop,Bon Voyage
The Steeles,southern gospel,We Want America Back
Static-X,industrial metal,Start A War
Iggy Pop,hard rock,Brick By Brick
Radiohead,british pop,The Bends (Collectors Edition)
David Summers,pop,Basado En Hechos Reales
Tanya Chua,mandarin pop,Stranger
Britney Spears,dance pop,Oops!... I Did It Again
Wanda De Sah,samba,Ultra-Lounge / Bossa Novaville Volume Fourteen
Billie Jo Spears,classic country,Country Greats
Starski and Clutch,ghetto tech,Triple Gold
Gary Moore,blues-rock,After Hours
The Radio Department,shoegaze,Marie Antoinette (Original Motion Picture Soundtrack)
Matt Redman,ccm,Here I Am To Worship Vol 2
Ec8or,hardcore techno,The One And Only High And Low
Go Fish,male vocalist,More Than A Story
Maroon 5,pop,Call And Response: The Remix Album
YGGDRASIL,viking metal,VedergA$?llning
Paul Brown,smooth jazz,The City
Corona,europop,I Don't Wanna be A Star
Jody Bernal,europop,Alle Hits
Red Hot Chili Peppers,rap rock,Stadium Arcadium
Renee Rosnes,hard bop,Life On Earth
Dee Clark,doo-wop,Dee Clark Selected Hits Vol. 4
Adam Ant,pop rock,Ants Remastered Boxset
Showbread,post-hardcore,Age Of Reptiles
Busta Rhymes feat. Linkin Park,hip hop,We Made It
Pitch Black,chill-out,Frequencies Fall
Scott Krippayne,ccm,Bright Star Blue Sky
Julien Clerc,chanson,Niagara
Negura Bunget,black metal,OM
Annie Philippe,chanson,Twist Again au CinA(c)_ Vol. 1 (Bandes originales de films)
Fat Joe,gangster rap,Me_ Myself & I
R. Carlos Nakai,chamber jazz,Feather_ Stone & Light
Finntroll,heavy metal,Nifelvind
Crazy Horse,country rock,Scratchy: The Reprise Recordings [Includes Liner Notes]
Mychael Danna & Jeff Danna,celtic,A Celtic Tale: The Legend Of Deirdre - Narrated By Fiona Ritchie
Marc Perrone,musette,Voyages
Bad Azz,gangster rap,Personal Business (Explicit)
Grey Area,future jazz,Grey Area
Lot Lorien,ballad,Lot Lorien
Paul Carrack,blue-eyed soul,Groove Approved
Dan Cummins,united states,Revenge Is Near
The Impressions,chicago soul,It's About Time
Jeff Scott Soto,symphonic rock,Prism
Beherit,illbient,Electric Doom Synthesis
The Distillers,grunge,The Distillers
Kitaro,chill-out,Thinking Of You
Big Star,power pop,Keep An Eye On The Sky
Tiny Tim,cabaret,God Bless Tiny Tim: The Complete Reprise Studio Masters... And More
Khold,black metal,Hundre Ar Gammal
Jennifer Lopez,dance pop,This Is Me...Then
Melt Banana,noise rock,Speak Squeak Creak
Van Halen,heavy metal,Jump / House Of Pain [Digital 45]
Sister Hazel,post-grunge,Release
The Antlers,chamber pop,In the Attic of the Universe
Banda La Bocana,merengue,Tropical - Exitazos Eterno
George Hamilton IV,country gospel,Beyond The River
Heaven 17,new romantic,Bigger Than America
Eddie Boyd,chicago blues,Live In Switzerland
RUN-DMC,hip hop,King Of Rock
Justin Timberlake,rock,The Soundtrack
Russ Morgan,orchestra,Russ Morgan At Catalina (Digitally Remastered)
Orquesta America,charanga,Danzon-Son
The Golden Age Orchestra_ Paul SummerA ,easy listening,60 Jahre Oscar Vol. 1
Sharon Burch,folk rock,Colors of My Heart
Mons Leidvin Takle,lullaby,Ny Dag
Simon Harris,hip house,Super DJ Breaks
Aerosmith,blues-rock,Big Ones
The Cat's Miaow,shoegaze,A Kiss And A Cuddle
Pyranja,pop rap,Vs Laudert & FrAPhlich
Sade,quiet storm,Soldier of Love
2-Gether feat. Sarinah,boy band,Feelin` Alone
All Leather,digital hardcore,Hung Like A Horse EP
Danny Barnes,progressive bluegrass,Get Myself Together
Goldfish,chill-out,Coming Home
Premiums,concerto,Dragon Boys
Les Ogres De Barback,chanson,Croc' noces
Kix,heavy metal,Kix Live
Stevie Ray Vaughan And Double Trouble,texas blues,The Best Of
David Jalbert,los angeles,Corigliano & Rzewski: Ballads & Fantasies
Cassidy featuring Swizz Beatz,pop rap,B.A.R.S. The Barry Adrian Reese Story
Javier Navarrete,orchestra,Cracks
Nickelback,alternative metal,NOW (That's What I Call Music) 22
Double Image,marimba,Secret Wispers - Double Image pays homage to Clara Schumann
Tony Matterhorn,reggaeton,Don Corleon Presents - Raging Bull Riddim
Gus Viseur,gypsy jazz,En attendant le tour
Hank Locklin,honky tonk,RCA Country Legends
J. Karjalainen & Mustat Lasit,suomi rock,Lumipallo
James Newton Howard,instrumental pop,The Interpreter / Die Dolmetscherin
Terry Riley,free improvisation,Lisbon Concert
Joy Enriquez,tribal house,Joy Enriquez
The Stems,power pop,At First Sight  Includes Bo Nus Disc With Bsides \ Live Tracks
Malefaction,grindcore,Where There Is Power There Is Always Resistance
Sonora Carruseles,salsa,De Colombia Para El Mundo
La Portuaria,disco,10000 Km
Julio Iglesias Jr,j pop,Por La Mitad
Big One,art rock,Live At Valle Dei Templi
Nicole Mullen,ccm,Christmas In Black and White
Irtio,celtic,Mar de Pedra
Slipknot,rap metal,9.0 Live
Kane,blues-rock,February
Groupa,neofolk,Lavalek
Sleepy John Estes,country blues,Working Man Blues
Nickelback,alternative metal,Dark Horse
Paul Taylor,smooth jazz,Steppin' Out
Kathy Troccoli,ccm,Comfort
Josh White,delta blues,Black Man Blues
Gene Autry,classic country,The Singin' Cowboy - 20 Great Favourites
Britney Spears,dance pop,The Singles Collection
R.E.M.,jangle pop,Around The Sun
GAPsta Ekman / Tage Danielsson,vaudeville,LAY=dan
Spunk,free improvisation,En Aldeles Forferdelig Sykdom
The Avengers,rock,20 Suosikkia / Rautalankaklassikot / Muurari
Gaither Vocal Band,ccm,The Best Of The Gaither Vocal Band
Bad Company,blues-rock,Hard Rock Live
Kathy Troccoli,ccm,Draw Me Close
Ann Hampton Callaway,vocal jazz,Signature
Mariachi Silvestre Vargas,mariachi,Mexico Gran ColecciA3n Ranchera - Mariachi Silvestre Vargas
Bill Engvall,comedy,Aged And Confused
Nightfall,doom metal,Lyssa - Rural Gods And Astonishing Punishments
Bill Cosby,comedy,20th Century Masters: The Millennium Collection: Best Of Bill Cosby
Tony Joe White,country rock,Album 95
Screaming Lord Sutch,psychobilly,Monster Rock
Owl City,synthpop,Ocean Eyes
Michael Salgado,tejano,Two Thousand and Two
Keb' Mo',blues,The Door
Telecast,modern rock,The Beauty of Simplicity
Cedric Gervais feat. Second Sun,progressive house,Pills
Youves,dance-punk,Cardio-Vascular
Dionne Warwick,brill building pop,Pop Masters: I Say A Little Prayer For You
AFI,post-hardcore,Crash Love
Oak Ridge Boys,classic country,Volume 2
Belphegor,black metal,Bondage Goat Zombie
Les Ogres De Barback,chanson,Irfan_ le hA(c)ros
Julio Iglesias Jr.,j pop,Tercera Dimension
Orquesta Aragon,charanga,The 70th anniversary album
Dallas Holm,ccm,Early Works
Mighty Mighty Bosstones,ska punk,More Noise And Other Disturbances
Jacques Douai,chanson,Heritage - Jacques Douai Chante Pour Les Enfants_ Vol.2 - BAM (1961-1971)
STEVE CAMP,ccm,One On One
Russ Taff,ccm,Now More than Ever
Cornel Campbell,roots reggae,Natty Dread In A Greenwich Farm
Brazilian Tropical Orchestra,bossa nova,Plays Boleros
Tina Ann,progressive house,Situations
Brooke White,pop rock,Hold Up My Heart
Arthur Tracy,vaudeville,Street Singer
Alex Ubago,latin pop,Calle ilusion
themselves,experimental pop,Them
The Ocean,sludge metal,Precambrian
Miguel Migs,progressive house,Those Things Deluxe
The Jeff Healey Band,blues-rock,Master Hits
Bravehearts featuring Nas and Jully Black,hip hop,Bravehearted (Clean)
Willie Barcena,comedy,Hey! They're Just Jokes!
DJ Rashad,ghetto tech,Juke Trax Online Vol. 3
Yuppie Pricks,rock,Initial Public Offering
